trial_id,mean_loss,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,neg_mean_loss,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,experiment_tag,config.input_chunk_length,config.output_chunk_length,config.hidden_size,config.batch_size,config.dropout
bae7c_00020,0.13547550593846777,9257.27762055397,True,,,1,-0.13547550593846777,901eed4dfd1149fe86d4c4bcd1f46099,2022-05-24_01-12-21,1653354741,9257.27762055397,3043870,gpu06,130.149.248.55,9257.27762055397,0,1,"20_batch_size=256,dropout=0.1,hidden_size=75,input_chunk_length=600,output_chunk_length=300",600,300,75,256,0.1
bae7c_00021,0.37743258402228635,8371.38983798027,True,,,1,-0.37743258402228635,4f30286277684b33aaa29cb7f9c4b304,2022-05-24_01-10-38,1653354638,8371.38983798027,3044066,gpu06,130.149.248.55,8371.38983798027,0,1,"21_batch_size=512,dropout=0.1,hidden_size=75,input_chunk_length=600,output_chunk_length=300",600,300,75,512,0.1
bae7c_00022,0.1453109829917046,8518.777619123459,True,,,1,-0.1453109829917046,ea694698244c492e91719981f9dd64bb,2022-05-24_03-18-34,1653362314,8518.777619123459,3045734,gpu06,130.149.248.55,8518.777619123459,0,1,"22_batch_size=256,dropout=0.2,hidden_size=75,input_chunk_length=600,output_chunk_length=300",600,300,75,256,0.2
bae7c_00023,0.09846730929456093,7506.566574811935,True,,,1,-0.09846730929456093,7472d8bf23534fee9744f48ad445ee7b,2022-05-24_03-15-08,1653362108,7506.566574811935,3045935,gpu06,130.149.248.55,7506.566574811935,0,1,"23_batch_size=512,dropout=0.2,hidden_size=75,input_chunk_length=600,output_chunk_length=300",600,300,75,512,0.2
bae7c_00024,0.06127749562528186,1734.6290893554688,True,,,1,-0.06127749562528186,43ae774c22694680bb6c1442e5497a29,2022-05-24_01-39-38,1653356378,1734.6290893554688,3045978,gpu06,130.149.248.55,1734.6290893554688,0,1,"24_batch_size=256,dropout=0.05,hidden_size=25,input_chunk_length=300,output_chunk_length=600",300,600,25,256,0.05
bae7c_00025,0.06588148161820682,1336.2674787044525,True,,,1,-0.06588148161820682,6c1766cf557d40faa4b4bc910e9d2444,2022-05-24_01-34-43,1653356083,1336.2674787044525,3046035,gpu06,130.149.248.55,1336.2674787044525,0,1,"25_batch_size=512,dropout=0.05,hidden_size=25,input_chunk_length=300,output_chunk_length=600",300,600,25,512,0.05
bae7c_00026,0.06376742767190786,1705.9016604423523,True,,,1,-0.06376742767190786,4f1e0b5c5e434c43a9e910ed8ddaa33e,2022-05-24_02-03-15,1653357795,1705.9016604423523,3046353,gpu06,130.149.248.55,1705.9016604423523,0,1,"26_batch_size=256,dropout=0.1,hidden_size=25,input_chunk_length=300,output_chunk_length=600",300,600,25,256,0.1
bae7c_00027,0.06923562996452326,1335.4425864219666,True,,,1,-0.06923562996452326,0272623087fe41c7b36c00ea35950ccc,2022-05-24_02-02-00,1653357720,1335.4425864219666,3046447,gpu06,130.149.248.55,1335.4425864219666,0,1,"27_batch_size=512,dropout=0.1,hidden_size=25,input_chunk_length=300,output_chunk_length=600",300,600,25,512,0.1
bae7c_00028,0.06561215480776154,1749.1266524791718,True,,,1,-0.06561215480776154,76d7fd7b42b44219bb2fc65f178baa9f,2022-05-24_02-31-15,1653359475,1749.1266524791718,3046758,gpu06,130.149.248.55,1749.1266524791718,0,1,"28_batch_size=256,dropout=0.2,hidden_size=25,input_chunk_length=300,output_chunk_length=600",300,600,25,256,0.2
bae7c_00029,0.06548534746624962,1329.3230321407318,True,,,1,-0.06548534746624962,c4915cc7242a47dc82904933d8c17ca1,2022-05-24_02-25-30,1653359130,1329.3230321407318,3046811,gpu06,130.149.248.55,1329.3230321407318,0,1,"29_batch_size=512,dropout=0.2,hidden_size=25,input_chunk_length=300,output_chunk_length=600",300,600,25,512,0.2
